,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
AEE,0.03865090320483293,0.4594057470478393,11.886028758841396,0.8438037397747126,-0.0004546362419974888,-0.0029366127956309317,-0.0015988277031425196
AMRC,0.45634435876790236,0.7931900469942077,1.7381392620602674,1.1652764479501994,0.0009462508504396208,0.5248986171039823,0.35729234852406094
AAL,-0.2325878032922207,1.083123251620111,-4.656835983180455,1.376347938573581,-0.0018963810162066132,-0.2516683146488547,-0.1980515214595556
AAT,-0.10215041943909525,0.6966016744310142,-6.819371650709142,1.278811019514445,-0.0013168556131468979,-0.2040627013353134,-0.11115826910302094
AXL,-0.1930949121521605,1.2253953443578374,-6.346077846899534,2.050759221627219,-0.002226151585155872,-0.19022017116795298,-0.11366273997159274
ACC,-0.001682964901060195,0.7016172722112524,-416.8935857006073,1.2947986816559367,-0.0009358793123880025,-0.059409832898910914,-0.032192622290711057
AEO,0.16887797129036536,0.8787856437253142,5.203672432885566,1.2382802393293975,-0.00022906113765352727,0.14665461618607106,0.10407819425444474
AEP,0.017813721904850595,0.4141215317262789,23.24733337245573,0.6687915306295589,-0.000410421404990999,-0.05357431670520775,-0.03317368279808301
AEL,-0.0063946677765329436,1.0353044237302298,-161.90120580299333,2.0091515187782614,-0.0014669910004924214,-0.044812585277450766,-0.023091671953514453
AXP,0.16923376705221743,0.6638778765047604,3.922845233953337,1.442761840498143,-0.00037443221178581735,0.1946649702090061,0.08957387381939408
AFIN,0.06578209225540663,0.8598130058116431,13.07062418254073,1.27566222583428,-0.0006586092814958638,0.02998569698427502,0.02021075150872732
AFG,0.1271947674183153,0.765352566877178,6.0171702217914635,1.5006005340156052,-0.0005801591448937851,0.11392758212609237,0.05810658162634543
AMH,0.16182415625059438,0.4622690408930998,2.85661332401603,0.8667637848277663,1.0030353020830407e-05,0.2635351829212511,0.14055058411883453
AIG,0.08493653885388198,0.7614087449643074,8.964442809168078,1.54127250683388,-0.0007744215114598267,0.05901762903443994,0.029155479420178414
AMNB,0.02133604539511466,0.784322072592451,36.76042387742755,1.347186406419154,-0.0008835611151413714,-0.02379628886790681,-0.01385402533454481
ANAT,-0.16446929329418683,0.5034402896313437,-3.060998679740407,0.9075631741209769,-0.0012938360450804815,-0.40614408005349434,-0.22529483249717158
AOBC,,,,,,,
APEI,-0.08537247243608774,0.733794236557704,-8.595208919444651,0.6949059568131849,-0.0008322353694062837,-0.17085507924431442,-0.18041645953222452
ARL,-0.08006549546848661,1.2353447573082326,-15.429177701079215,0.8738663189329069,-0.0009399487425161659,-0.09719189299844083,-0.13739572388497664
ARA,-0.0587612213907431,1.1878683104316514,-20.215173924529438,,,-0.08314155746343206,
AMRB,0.0668793142378841,0.5594868852871121,8.365619349759841,0.34666120698539354,1.2441018369010602e-05,0.048042795898764326,0.07753770452606959
AMS,-0.08899256511851548,0.9433399788710389,-10.600211125668192,0.687948846018386,-0.0008413830864166541,-0.13674027180835685,-0.18750313466630633
AMSWA,0.31772088766357853,0.6936015281391082,2.183052972184612,0.9527494294317616,0.0005572881891271238,0.40040408850984976,0.29149415269575835
AWR,0.025422616576938426,0.5341064218238736,21.00910503084787,0.8408237928180412,-0.0005041704637663621,-0.027293031552181185,-0.01733702536438119
AMSC,0.22662727906534444,0.9861073061604302,4.35122951759087,1.2889606391676258,-3.985233157474861e-05,0.18925656254592435,0.14478896670255426
AMT,0.06737149313669823,0.48425790997980966,7.187875575167078,0.9076341397445619,-0.0003882589066594039,0.05652255249240933,0.030156967370576722
AVD,0.06101734093710006,0.6982423445650796,11.443342725879601,1.2322852981255519,-0.0006460890250241283,0.030100352836938467,0.017055580366875968
AWK,0.16713833013936322,0.4639108563896808,2.775610214622001,0.8046505805154549,7.536884511167186e-05,0.27405767377120444,0.15800439745898034
AMWD,0.07829873076976776,0.9536939892536077,12.180197301765745,1.7770082652155168,-0.0009695431403537822,0.040158301511097505,0.021552365016784467
CRMT,0.29718243072147765,0.8929456858880642,3.004705506042993,1.5030864433816442,8.207097355797041e-05,0.2880157604050701,0.1711028875643829
COLD,0.09301635594004436,0.5072061365316544,5.452870426987967,0.8830912499540904,-0.0002704686944799349,0.10452625100827352,0.060034969141411536
AMP,0.3071073284574738,0.7457314797478938,2.4282438439145153,1.7973063558277609,-9.032793761501803e-05,0.35818164541984154,0.14861535852882232
ABCB,0.14501919498385613,0.7913805841756074,5.45707472906401,1.434269009411403,-0.0004629248939767573,0.13270378005704567,0.07322140706850663
AMSF,0.07667684138600539,0.499680039825598,6.5167008811711,0.8383271948498061,-0.0003021667853369948,0.07340065334370093,0.04375003174336528
ASRV,-0.046255597216497496,0.5981828945544645,-12.932119149920238,0.5375656617138957,-0.0005665085169463703,-0.14419602767267686,-0.16045592819580917
ABC,0.17759778507137028,0.5041349250353481,2.8386329527294163,0.8986753497738529,4.874246500694501e-05,0.27293841041011474,0.15311178292138097
ATLO,-0.011728679011412545,0.6675468475036221,-56.9157743045119,1.205464695825316,-0.0009110034346887681,-0.07749070976045896,-0.04291181582551179
AME,0.2272443368872571,0.5068699821541327,2.2305065512176285,1.2092746281464066,1.9750437210559225e-05,0.3694129529854827,0.15484020960091413
AMGN,0.13957255306359181,0.43048532988067345,3.0843122120474247,0.7905731965631744,-2.2206326346416345e-05,0.23130301116461366,0.1259498215933191
FOLD,-0.11256670729296704,0.9418928217947943,-8.367419145906224,1.3372480236957707,-0.00139948574896627,-0.1619788406522181,-0.1140900600259003
AMKR,0.46180587044312726,0.9491853578727842,2.055377418571987,1.57109147368181,0.0006763225927236413,0.4443872494919589,0.26847951090628525
AMN,0.21955867288464617,0.6539937910345742,2.978674367275738,0.7240914081828786,0.0003379548825304387,0.2745571522943611,0.24797790839039524
