,Unnamed: 0,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
2677,COMM,-0.1646152003772243,0.8907823411721989,-5.411300652254013,1.3654964924044313,-0.0017546279946831884,-0.22970280271605625,-0.1498467418374163
2678,PATI,-0.16481875730883436,0.6338036304212685,-3.84545813091928,0.2920025189028881,-0.0008815316525129575,-0.3231580689632498,-0.7014280495879947
2679,HSON,-0.16497269109489948,0.5665636576203636,-3.4342875409267077,0.3774221537291095,-0.0009516699016030213,-0.3617822787218823,-0.5430860087826649
2680,ESBK,-0.1651050051321007,0.5371664448760061,-3.2534837114490784,0.3143817367080389,-0.0009008678962926783,-0.38182765712300776,-0.6524075071274841
2681,UFI,-0.1652110162233408,0.9995355732618938,-6.050054022491271,1.2849390439480726,-0.0016913765800381426,-0.2053063659892096,-0.15970486474814746
2682,RUTH,-0.16535486140720013,1.2133114250728922,-7.337621735142165,1.8026884567155652,-0.0021134190006491423,-0.1692515681988761,-0.11391589081418395
2683,LILA,-0.1657214387631501,0.8110619455598251,-4.894128071860388,1.4821105087075923,-0.0018538803684653624,-0.2536445457580352,-0.1388030363151127
2684,MATW,-0.16584124781897155,0.7268643992724261,-4.382892729231357,1.2234732176412075,-0.0016438013808817255,-0.28319071346046626,-0.168243362299195
2685,NWHM,-0.16601236512163006,1.4296853945735142,-8.611921127236789,1.7004708508556348,-0.002032775826327802,-0.14409629272535526,-0.12115018908908068
2686,CRK,-0.16657748045454282,1.0282075563693929,-6.1725483754689145,0.7281824517059968,-0.001243479512687456,-0.20091029206590266,-0.2836891770332696
2687,LILAK,-0.16682266889635594,0.8023132129280542,-4.809377635760748,1.451477271422565,-0.0018332446704241246,-0.2577829525473642,-0.14249115226837347
2688,SUPN,-0.1672805451707893,0.8102229269548824,-4.843497647187034,0.7808691648990504,-0.001289116151350708,-0.2558314980666201,-0.2654484957125772
2689,AAT,-0.16744847954495526,0.6851909649239794,-4.091950949844395,1.2886823255670228,-0.0017031639373724528,-0.3027600919518419,-0.1609772054983974
2690,MPC,-0.16814823366395842,0.905730543602834,-5.386500493445098,1.7309139619044056,-0.0020659016663782505,-0.22981253655859066,-0.12025336801544267
2691,RCL,-0.16828413688860894,1.1772272966091926,-6.9954739547936455,1.90851526877777,-0.0022110111516322954,-0.17692771607363916,-0.1091341213224854
2692,GEOS,-0.1690087190620739,1.0670351848096369,-6.31349193539378,1.6424507720420485,-0.001997248347358117,-0.19587800106081965,-0.12725417566227248
2693,HBB,-0.16913734600548214,0.9979879022412363,-5.900458567020966,1.010029010289879,-0.0014829197799987035,-0.2095589991980974,-0.20706073179567347
2694,CVTI,-0.169197447813715,0.8659236300585209,-5.11782914723333,1.2412298370655108,-0.0016713665400509272,-0.2415887966928181,-0.16854046008779094
2695,COG,-0.16922674968541596,0.5999140211063512,-3.545030689424463,0.741497912642183,-0.0012646678417430905,-0.3487612263163371,-0.2821676853274978
2696,AMAL,-0.1704466269738158,0.742989090005828,-4.359071829095021,1.1109164692837648,-0.0015701628839339208,-0.28324322632000565,-0.18943514907965667
2697,OCC,-0.17158742254239834,0.8864074227869014,-5.1659230592374845,0.40658223058895454,-0.0010012468295004494,-0.2387022232701513,-0.5204049922100715
2698,CERC,-0.1721390282163585,1.2122240459632818,-7.04212204822987,1.4607892855804785,-0.0018615922631337813,-0.1749998516551322,-0.14522219618557794
2699,FCBC,-0.1721925222960869,0.6578277916781529,-3.8203040579602576,1.2099519955217657,-0.0016576039231649359,-0.3225654570701137,-0.17537267848761512
2700,NYMT,-0.17220965248386055,1.30811316322519,-7.596050188579214,1.0749193437528388,-0.0015477457823161265,-0.16222576031621885,-0.1974191400658754
2701,ISTR,-0.17277600161302245,0.7900456221662013,-4.572658325174797,1.3090847446067333,-0.001740583420376016,-0.26932115771949805,-0.16253798884268816
2702,GDOT,-0.17288899909102487,1.1216384682984302,-6.487621966669465,1.3987757642708136,-0.00181403893742052,-0.18980179898250624,-0.1521966597712712
