,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
ALGN,0.5199413422381078,0.8408406378925041,1.6171836505115609,1.468148031004309,0.0008358562032102939,0.570787519786199,0.32690255485327097
ALLE,0.1922049914450739,0.5000731817674863,2.601770006115535,1.0833058108309925,-0.00013107819015753107,0.304365434889174,0.14050048464922296
LNT,0.1302620067452408,0.409197395116291,3.14134109661443,0.769271118022894,-0.00011739901966718327,0.22058304334901488,0.1173344541742623
ALL,0.15858069618926818,0.4623483294817831,2.9155397888401513,1.016999221308547,-0.00020844536702185716,0.2564748018494578,0.11659861060335268
GOOGL,0.24106110517646884,0.4495024737564705,1.8646827053556074,1.0129177293000677,0.00011706632130796025,0.4472969937099809,0.1984969749867082
GOOG,0.24526568941931276,0.44982812592195165,1.834044243966442,1.0057956883626271,0.0001392882669384556,0.45632026454239055,0.2040828885968606
MO,-0.011952956711920313,0.4391669396900731,-36.74128086250873,0.7453565404465516,-0.0006534582532107821,-0.11829887912005471,-0.06970215446260752
AMZN,0.3420223914105792,0.443254177091115,1.2959799949442858,0.7684935005373413,0.0007104230123824504,0.6813751725761983,0.3930057849538103
AMCR,0.142086439447627,0.5302447844129234,3.731846518740949,0.9883981545099796,-0.0002495929935217748,0.19252700346813423,0.10328473296091757
AEE,0.11582481946315754,0.4549699842785991,3.9280871439071787,0.8596191482024249,-0.00024734325093937997,0.16665894912471083,0.08820745747895106
AAL,-0.3887278978648961,1.0680209340977356,-2.74747693685965,1.40981491535528,-0.0026661461977565853,-0.40142274760474195,-0.3041022571085898
AEP,0.08877448546982131,0.4090627807220303,4.607886810688306,0.6775228035463635,-0.00020477076187266544,0.11923471840613371,0.07198943742486687
AXP,0.10836201633110161,0.6516594999931207,6.01372623043453,1.4501266097595082,-0.000757204970368551,0.10490450355104666,0.04714210184891297
AIG,-0.008892753382044658,0.7575865904101097,-85.1914539696728,1.5554047170016474,-0.001300934403024203,-0.06453751162039074,-0.0314341038365212
AMT,0.18230223833781167,0.47601208243810883,2.6111148539824494,0.9148566913721926,-3.2632661313199075e-05,0.29894669397664675,0.1555459337837631
AWK,0.2849839151017985,0.4523262610524894,1.5871992666355044,0.7968583021490925,0.0004645257350985267,0.5416088699598403,0.30743723751272645
AMP,0.29525291285487265,0.7381350276674054,2.500009298909864,1.801022663412879,-0.00031281382211405424,0.3458078851257097,0.141726652329392
ABC,0.14899848348331513,0.4961215396502457,3.329708652409214,0.905146339716604,-0.0001548206178676665,0.21970117153179147,0.12042084102935433
AME,0.2903343508670851,0.5004153847397668,1.723583114589347,1.2138507692419669,0.00014596782856251796,0.5002531067210645,0.2062315708078477
AMGN,0.09793951833044809,0.4322146421830176,4.413077065834903,0.797507277970406,-0.0002666447468496355,0.13405265040954836,0.07265077063359178
APH,0.26420555168719057,0.4609451868856987,1.7446461058147653,1.0854865760911547,0.00014839871846197958,0.48640393275825045,0.2065484333252249
ADI,0.30758707727670204,0.5768665389206494,1.875457655854984,1.2746549549185942,0.00016386286678284718,0.46386305882357626,0.2099290292201402
ANSS,0.4523365328230206,0.5103760371011778,1.1283104504425814,1.151722230105219,0.0008293653830021749,0.8079073131352331,0.35801734311002265
ANTM,0.1356099869532023,0.6181635279353654,4.558392356078374,1.2006080859450659,-0.00044764384242077676,0.15466779037018694,0.07963463520899272
AON,0.18775845889442466,0.4481693225921728,2.3869461074143956,0.8320883396768258,5.60593345630562e-05,0.3296933802603945,0.1775754470394483
AOS,0.11314542323774454,0.45563458861202744,4.026982051714407,0.7501365423471535,-0.0001686839281593413,0.16053527336579757,0.0975094787528612
